CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,529,11,372.86,1,5,2,152,Potential Loyalists
12347,2,8,5383.72,5,4,5,545,Champions
12348,75,5,1408.84,3,4,4,344,Loyal Customers
12349,19,3,3418.19,5,3,5,535,Loyal Customers
12350,310,1,294.4,2,1,2,212,Lost
12351,375,1,300.93,2,1,2,212,Lost
12352,36,9,1729.54,4,5,4,454,Champions
12353,204,2,406.76,2,2,2,222,Lost
12354,232,1,1028.55,2,1,3,213,Lost
12355,214,2,947.61,2,2,3,223,Lost
12356,23,6,5613.68,4,4,5,445,Champions
12357,33,2,17412.66,4,2,5,425,New Customers
12358,2,5,3447.07,5,4,5,545,Champions
12359,58,10,7127.84,4,5,5,455,Champions
12360,52,6,3511.19,4,4,5,445,Champions
12361,287,4,451.25,2,3,2,232,Potential Loyalists
12362,3,10,4524.78,5,5,5,555,Champions
12363,110,2,552.0,3,2,2,322,Potential Loyalists
12364,8,3,1143.3,5,3,3,533,Loyal Customers
12365,291,1,320.69,2,1,2,212,Lost
12366,634,1,500.24,1,1,2,112,Lost
12367,4,1,150.9,5,1,1,511,New Customers
12368,628,1,917.6999999999999,1,1,3,113,Lost
12369,413,3,1511.15,1,3,4,134,At Risk
12370,51,7,3839.35,4,4,5,445,Champions
12371,60,4,3347.38,3,3,5,335,Loyal Customers
12372,72,3,1196.04,3,3,4,334,Loyal Customers
12373,311,3,927.6500000000001,2,3,3,233,At Risk
12374,25,3,2635.32,4,3,4,434,Loyal Customers
12375,11,2,377.5,5,2,2,522,New Customers
12376,390,2,383.15,2,2,2,222,Lost
12377,315,4,3198.52,2,3,5,235,At Risk
12378,130,2,5197.14,3,2,5,325,Potential Loyalists
12379,82,4,1470.22,3,3,4,334,Loyal Customers
12380,22,8,6761.55,4,4,5,445,Champions
12381,5,5,1485.31,5,4,4,544,Champions
12383,185,5,1576.72,3,4,4,344,Loyal Customers
12384,29,2,425.27000000000004,4,2,2,422,New Customers
12385,379,1,1668.4,2,1,4,214,Lost
12386,338,2,660.8,2,2,3,223,Lost
12387,415,1,110.03999999999999,1,1,1,111,Lost
12388,16,8,3901.11,5,4,5,545,Champions
12389,403,3,1433.33,2,3,4,234,At Risk
12390,80,1,470.94,3,1,2,312,Potential Loyalists
12391,22,6,2475.82,4,4,4,444,Champions
12392,591,1,234.75000000000003,1,1,1,111,Lost
12393,72,6,2399.4500000000003,3,4,4,344,Loyal Customers
12394,64,2,629.92,3,2,3,323,Potential Loyalists
12395,19,15,4511.32,5,5,5,555,Champions
12396,674,1,931.43,1,1,3,113,Lost
