Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Revenue,Year,Month,YearMonth,DayOfWeek,Hour,Category
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,2009-12-01 09:08:00,2.1,15362,United Kingdom,12.600000000000001,2009,12,2009-12,1,9,
489446,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2009-12-01 10:06:00,1.25,13758,United Kingdom,15.0,2009,12,2009-12,1,10,
489446,20754,RETRO RED SPOTTY WASHING UP GLOVES,12,2009-12-01 10:06:00,2.1,13758,United Kingdom,25.200000000000003,2009,12,2009-12,1,10,
489446,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2009-12-01 10:06:00,1.95,13758,United Kingdom,19.5,2009,12,2009-12,1,10,
489461,22180,RETRO SPOT LAMP,2,2009-12-01 10:49:00,9.95,17865,United Kingdom,19.9,2009,12,2009-12,1,10,
489517,21913,VINTAGE SEASIDE JIGSAW PUZZLES,1,2009-12-01 11:34:00,3.75,16329,United Kingdom,3.75,2009,12,2009-12,1,11,
489522,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2009-12-01 11:45:00,3.75,15998,United Kingdom,3.75,2009,12,2009-12,1,11,
489522,84012,MAGIC SHEEP WOOL GROWING FROM PAPER,4,2009-12-01 11:45:00,2.55,15998,United Kingdom,10.2,2009,12,2009-12,1,11,
489529,21122,SET/10 PINK SPOTTY PARTY CANDLES,1,2009-12-01 11:51:00,1.25,17984,United Kingdom,1.25,2009,12,2009-12,1,11,
489529,22030,SWALLOWS GREETING CARD,1,2009-12-01 11:51:00,0.42,17984,United Kingdom,0.42,2009,12,2009-12,1,11,
489533,21535,RETRO SPOT SMALL MILK JUG,1,2009-12-01 12:02:00,2.55,16011,United Kingdom,2.55,2009,12,2009-12,1,12,
489544,22065,CHRISTMAS PUDDING TRINKET POT ,12,2009-12-01 12:20:00,1.45,14341,United Kingdom,17.4,2009,12,2009-12,1,12,
489545,84977,WIRE FLOWER T-LIGHT HOLDER,6,2009-12-01 12:22:00,1.25,17804,United Kingdom,7.5,2009,12,2009-12,1,12,
489546,84782A,PINK 3 TIER GLASS PLATE STAND,2,2009-12-01 12:30:00,12.75,14156,EIRE,25.5,2009,12,2009-12,1,12,
489552,21580,RABBIT  DESIGN  COTTON TOTE BAG,1,2009-12-01 12:36:00,2.25,17063,United Kingdom,2.25,2009,12,2009-12,1,12,
489562,35071,ASSORTED SANTA CHRISTMAS DECORATION,1,2009-12-01 13:07:00,0.85,17998,United Kingdom,0.85,2009,12,2009-12,1,13,
489573,22042,CHRISTMAS CARD SINGING ANGEL,12,2009-12-01 13:29:00,0.42,15051,United Kingdom,5.04,2009,12,2009-12,1,13,
489573,22138,BAKING SET 9 PIECE RETROSPOT ,3,2009-12-01 13:29:00,4.95,15051,United Kingdom,14.850000000000001,2009,12,2009-12,1,13,
489574,22125,UNION JACK HOT WATER BOTTLE ,2,2009-12-01 13:31:00,5.95,13097,United Kingdom,11.9,2009,12,2009-12,1,13,
489586,72753A,S/3 FLWR FAIRY LILLY CANDLES,8,2009-12-01 13:50:00,2.1,15380,United Kingdom,16.8,2009,12,2009-12,1,13,
489594,84596E,SMALL LICORICE DES PINK BOWL,5,2009-12-01 14:19:00,1.25,15005,United Kingdom,6.25,2009,12,2009-12,1,14,
489598,47591D,PINK FAIRY CAKE CHILD'S APRON,8,2009-12-01 14:35:00,1.95,16620,United Kingdom,15.6,2009,12,2009-12,1,14,
489599,84934,ASSTD DESIGN POP ART SLIM PEN,40,2009-12-01 14:40:00,0.85,12758,Portugal,34.0,2009,12,2009-12,1,14,
489599,21929,JUMBO BAG PINK VINTAGE PAISLEY,30,2009-12-01 14:40:00,1.95,12758,Portugal,58.5,2009,12,2009-12,1,14,
489635,20750, RED/WHITE DOT MINI CASES,4,2009-12-01 15:26:00,7.95,16763,United Kingdom,31.8,2009,12,2009-12,1,15,
489641,21231,SWEETHEART CERAMIC TRINKET BOX,12,2009-12-01 16:18:00,1.25,13819,United Kingdom,15.0,2009,12,2009-12,1,16,
489654,84508A,CAMOFLAGE DESIGN TEDDY,2,2009-12-01 17:19:00,2.55,15750,United Kingdom,5.1,2009,12,2009-12,1,17,
489674,22153,ANGEL DECORATION STARS ON DRESS,48,2009-12-02 09:35:00,0.42,15602,United Kingdom,20.16,2009,12,2009-12,2,9,
489675,85099B,JUMBO BAG RED WHITE SPOTTY ,60,2009-12-02 09:47:00,1.65,13777,United Kingdom,99.0,2009,12,2009-12,2,9,
489695,21889,WOODEN BOX OF DOMINOES,12,2009-12-02 10:48:00,1.25,16202,United Kingdom,15.0,2009,12,2009-12,2,10,
489764,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,3,2009-12-02 11:31:00,5.95,14425,United Kingdom,17.85,2009,12,2009-12,2,11,
489785,21838,DADDY MOUSE RED GINGHAM BOW TIE,1,2009-12-02 11:51:00,5.45,14653,United Kingdom,5.45,2009,12,2009-12,2,11,
489786,21212,PACK OF 72 RETRO SPOT CAKE CASES,1,2009-12-02 11:52:00,0.55,17019,United Kingdom,0.55,2009,12,2009-12,2,11,
